country,abr,co2_prod,coef_ineq,diff_hdi_phdi,gdi,gii,hdi,ihdi,ineq_edu,ineq_inc,ineq_le,lfpr_f,lfpr_m,loss,mf,mmr,phdi,pr_f,pr_m,se_f,se_m,continent
Rwanda,32.444,0.079731518,24.64764153,0.936329588,0.954,0.388,0.534,0.402,27.35907,27.19248,19.39137459,82.501,82.226,24.71910112,2.0,248.0,0.529,55.66037736,44.33962264,11.44769934,16.31111198,Africa
Saint Kitts and Nevis,38.154,3.985789207,17.977667904463672,10.304965356880896,0.9603220085243522,0.3291908089125021,0.777,0.6395323740557268,18.391124666670652,27.583360540096713,7.958518505,47.88938128802288,71.32458393604642,18.602583776989494,15.915510666340914,63.13699283568798,0.6894664832639303,25.0,75.0,60.430240894641685,63.824723426715764,America
Saint Lucia,36.918,2.395617202,21.32341215,9.868187523639959,1.011,0.381,0.715,0.559,27.30567775,27.39586,9.268698692,63.158,73.228,21.81818182,17.443994926603132,117.0,0.6369015286762459,24.13793103,75.86206897,49.85380936,43.81652069,America
Saint Vincent and the Grenadines,47.871,1.882819542,18.329697632857272,9.826775673965008,0.97,0.39,0.751,0.6174281793621631,9.166052393,36.70213176358018,9.120908737,52.913,74.1,18.794929099647547,18.21098089258244,68.0,0.6689093288916272,18.18181818,81.81818182,44.06853867,39.61914825,America
Samoa,43.589,1.238975072,13.10658815,10.174392508634273,0.957,0.418,0.707,0.613,7.02996,21.87008,10.41972446,30.7,54.237,13.29561528,19.967463406255618,43.0,0.6363268477157334,7.843137255,92.15686275,79.1274861,71.58292158,Oceania
San Marino,3.751,5.484108000751015,16.88020810277318,10.824839946478209,0.9969349833166761,0.19617871635534012,0.853,0.7047089787181229,5.562256324,42.24633172629678,2.832036257,46.314885566835216,69.16819939504389,17.737758452772542,14.705707609652439,2.0,0.7617632315820357,33.33333333,66.66666667,81.75823975,84.284729,Europe
Sao Tome and Principe,79.418,0.514421037,18.42481067,10.377621707976898,0.907,0.494,0.618,0.503,18.69702,26.209,10.36841202,37.137,69.876,18.60841424,21.51894614874682,130.0,0.5393287448265862,23.63636364,76.36363636,39.87447381,48.40198103,Africa
Saudi Arabia,11.937,17.96720336,17.399714349624986,27.08571429,0.917,0.247,0.875,0.729969047054247,18.11940114,28.975806187205,5.103935719,30.937,80.146,18.146865295067403,30.03,17.0,0.638,19.86754967,80.13245033,71.27487946,80.92530823,Asia
Senegal,66.454,0.624178545,29.54915667,2.348336595,0.874,0.53,0.511,0.354,47.1353,23.384,18.12817001,33.51,56.729,30.72407045,4.09,315.0,0.499,43.03030303,56.96969697,11.14758684,30.92489003,Africa
Serbia,14.897,4.936885477,9.933117503,10.8478803,0.982,0.131,0.802,0.72,7.19484,18.49592,4.10859251,46.618,62.272,10.2244389,15.65,12.0,0.715,39.2,60.8,88.57485199,95.30072021,Europe
